TIC,Outbst,Flare,tpeak,e_tpeak,E_tpeak,Amp,e_Amp,E_Amp,FWHMdt,e_FWHMdt,E_FWHMdt,Ebol,e_Ebol,E_Ebol,MCME,e_MCME,E_MCME
2760232,1,1,2458357.381046,0.000863,0.000854,0.01475,0.00168,0.00170,0.01958,0.00307,0.00375,,,,,,
2760232,2,1,2458357.843604,0.001059,0.001026,0.01389,0.00162,0.00175,0.01612,0.00338,0.00394,,,,,,
2760232,3,1,2458359.790770,0.000026,0.000026,0.28258,0.00817,0.00949,0.00196,0.00017,0.00017,,,,,,
2760232,3,2,2458359.793415,0.000195,0.000195,0.04634,0.00589,0.00598,0.00610,0.00063,0.00062,,,,,,
2760232,3,3,2458359.816881,0.001735,0.001565,0.01665,0.00185,0.00155,0.05816,0.00920,0.00928,,,,,,
2760232,3,4,2458359.876649,0.000255,0.000404,0.01459,0.00396,0.00433,0.00265,0.00096,0.00233,,,,,,
2760232,5,1,2458360.659582,0.000143,0.000150,0.03723,0.00206,0.00224,0.00456,0.00038,0.00041,,,,,,
2760232,7,1,2458368.775507,0.000065,0.000055,0.13041,0.01312,0.01632,0.00156,0.00033,0.00033,,,,,,
2760232,7,2,2458368.781088,0.000302,0.000407,0.06287,0.01261,0.00799,0.00837,0.00110,0.00117,,,,,,
2760232,7,3,2458368.778128,0.000087,0.000106,0.09619,0.01158,0.01259,0.00212,0.00061,0.00131,,,,,,
2760232,7,4,2458368.809784,0.000504,0.000649,0.01478,0.00276,0.00159,0.00494,0.00142,0.00243,,,,,,
2760232,8,1,2458369.180702,0.000183,0.000156,0.02540,0.00383,0.00542,0.00179,0.00047,0.00049,,,,,,
2760232,9,1,2458372.546995,0.000019,0.000019,0.42041,0.00651,0.00685,0.00115,0.00004,0.00003,,,,,,
2760232,9,2,2458372.559783,0.000399,0.000415,0.01953,0.00143,0.00146,0.01499,0.00199,0.00252,,,,,,
2760232,10,1,2458372.871245,0.000092,0.000071,0.05882,0.01621,0.02484,0.00092,0.00035,0.00058,,,,,,
2760232,11,1,2458373.787754,0.000077,0.000074,0.05056,0.00496,0.00606,0.00174,0.00031,0.00032,,,,,,
2760232,12,1,2458374.605507,0.000033,0.000033,0.20087,0.00323,0.00335,0.00350,0.00010,0.00010,,,,,,
2760232,13,1,2458378.876405,0.000149,0.000131,0.03382,0.00441,0.00579,0.00159,0.00036,0.00037,,,,,,
2761472,1,1,2458354.142921,0.000053,0.000052,0.18707,0.01131,0.01333,0.00193,0.00026,0.00023,2.1e+32,1.9e+31,1.6e+31,2.6e+19,2.5e+19,4.1e+20
2761472,2,1,2458355.124386,0.000229,0.000267,0.04921,0.00560,0.00626,0.00432,0.00084,0.00097,1.4e+32,1.6e+31,2e+31,3.4e+19,3.1e+19,9.9e+20
2761472,3,1,2458357.742383,0.000329,0.000469,0.05300,0.01716,0.03830,0.00104,0.00059,0.00077,3.4e+31,9.7e+30,1.3e+31,1.2e+19,1.1e+19,3.7e+20
2761472,3,2,2458357.668146,0.000105,0.000101,0.10069,0.00841,0.00868,0.00255,0.00033,0.00037,1.6e+32,1.3e+31,1.3e+31,1.4e+19,1.2e+19,2.7e+20
2761472,4,1,2458358.314765,0.000009,0.000009,2.20258,0.02329,0.02405,0.00114,0.00002,0.00002,1.8e+33,2.2e+31,2e+31,1.3e+20,1.2e+20,2.5e+21
2761472,4,2,2458358.328226,0.000898,0.001147,0.04488,0.00446,0.00446,0.02578,0.00443,0.00469,6.1e+32,1e+32,1.2e+32,6.2e+19,6e+19,2e+21
2761472,5,1,2458358.530349,0.000031,0.000030,5.44296,0.22676,0.21683,0.00539,0.00017,0.00015,1.8e+34,1.3e+33,8e+32,4.6e+20,4.1e+20,1.7e+22
2761472,5,2,2458358.528234,0.000025,0.000023,7.26359,0.13909,0.20841,0.00170,0.00018,0.00016,7.6e+33,4.8e+32,8.3e+32,4.3e+20,4.2e+20,7.9e+21
2761472,6,1,2458358.799238,0.000411,0.000497,0.06651,0.00730,0.00835,0.00898,0.00229,0.00297,3.8e+32,6.6e+31,8.9e+31,6.7e+19,6.2e+19,2e+21
2761472,7,1,2458360.051478,0.000251,0.000264,0.06252,0.00937,0.01142,0.00375,0.00083,0.00095,1.6e+32,2e+31,2.3e+31,2.7e+19,2.6e+19,3.7e+20
2761472,8,1,2458360.748565,0.000259,0.000205,0.05507,0.01425,0.02379,0.00130,0.00061,0.00093,5e+31,1.6e+31,1.8e+31,1.4e+19,1.2e+19,1.3e+20
2761472,9,1,2458361.064651,0.000401,0.000721,0.04284,0.00590,0.00704,0.00546,0.00134,0.00169,1.6e+32,2.8e+31,2.7e+31,2.4e+19,2.2e+19,3.8e+20
2761472,10,1,2458362.819700,0.000090,0.000085,0.13841,0.01480,0.01782,0.00185,0.00055,0.00057,1.5e+32,3.7e+31,3.7e+31,3e+19,2.8e+19,1.1e+21
2761472,10,2,2458362.812531,0.000313,0.000317,0.04505,0.00810,0.00920,0.00330,0.00142,0.00190,8.1e+31,3.7e+31,3e+31,1e+19,9.1e+18,2.1e+20
2761472,10,3,2458362.822641,0.000420,0.000555,0.08233,0.01249,0.01124,0.01575,0.00222,0.00268,7.9e+32,1.1e+32,1.4e+32,3.9e+19,3.7e+19,6.7e+20
2761472,11,1,2458365.752566,0.000613,0.000640,0.03135,0.00321,0.00338,0.01378,0.00241,0.00272,2.9e+32,4.5e+31,5.4e+31,4.1e+19,3.9e+19,6.9e+20
2761472,12,1,2458366.078950,0.000836,0.000836,0.03267,0.00342,0.00359,0.01635,0.00315,0.00393,2.9e+32,4.3e+31,4.4e+31,4.3e+19,3.9e+19,1.3e+21
2761472,13,1,2458368.871535,0.000038,0.000040,0.26755,0.01492,0.01767,0.00223,0.00024,0.00026,4.2e+32,2.6e+31,3.6e+31,5e+19,4.8e+19,9.5e+20
2761472,13,2,2458368.969361,0.000692,0.000828,0.03248,0.00526,0.00565,0.00743,0.00199,0.00283,1.5e+32,3.3e+31,4.2e+31,2.5e+19,2.4e+19,1.1e+21
2761472,14,1,2458372.714686,0.000098,0.000121,0.10909,0.01016,0.01157,0.00274,0.00044,0.00050,2e+32,2.6e+31,1.9e+31,4.6e+19,4.2e+19,1.2e+21
2761472,16,1,2458376.049152,0.000050,0.000052,0.24465,0.02535,0.03106,0.00175,0.00028,0.00031,2.7e+32,1.9e+31,1.8e+31,4e+19,3.9e+19,4.9e+20
2761472,18,1,2458378.229141,0.000336,0.000350,0.07384,0.00655,0.00709,0.00634,0.00099,0.00120,2.7e+32,2.7e+31,3.1e+31,4.3e+19,3.9e+19,1.6e+21
5640393,1,1,2458354.512979,0.000274,0.000374,0.02089,0.00419,0.00600,0.00321,0.00107,0.00150,,,,,,
5640393,2,1,2458354.975155,0.000322,0.000348,0.02272,0.00212,0.00234,0.00850,0.00138,0.00155,,,,,,
5640393,3,1,2458356.221188,0.000270,0.000210,0.01873,0.00272,0.00341,0.00305,0.00088,0.00108,,,,,,
5640393,4,1,2458358.631482,0.000074,0.000085,0.08336,0.00365,0.00381,0.00342,0.00029,0.00030,,,,,,
5640393,5,1,2458359.454815,0.000255,0.000306,0.01692,0.00262,0.00310,0.00383,0.00102,0.00121,,,,,,
5640393,5,2,2458359.533637,0.000224,0.000192,0.02104,0.00454,0.00700,0.00181,0.00070,0.00092,,,,,,
5640393,6,1,2458360.259928,0.000009,0.000009,0.99872,0.00702,0.00712,0.00182,0.00004,0.00004,,,,,,
5640393,6,2,2458360.181328,0.000093,0.000116,0.03957,0.00626,0.01043,0.00229,0.00081,0.00094,,,,,,
5640393,6,3,2458360.263019,0.000076,0.000072,0.16318,0.00539,0.00562,0.00676,0.00030,0.00030,,,,,,
5640393,7,1,2458361.792756,0.001459,0.001572,0.01282,0.00150,0.00145,0.03399,0.00575,0.00956,,,,,,
5640393,8,1,2458363.205838,0.000542,0.000626,0.01205,0.00166,0.00170,0.00916,0.00229,0.00290,,,,,,
5640393,10,1,2458368.918534,0.000909,0.000918,0.01250,0.00130,0.00137,0.01486,0.00247,0.00314,,,,,,
5640393,11,1,2458373.115588,0.000373,0.000413,0.01608,0.00288,0.00319,0.00486,0.00177,0.00239,,,,,,
5640393,12,1,2458374.036125,0.000441,0.000442,0.01260,0.00287,0.00355,0.00381,0.00152,0.00248,,,,,,
5640393,12,2,2458374.117090,0.000315,0.000323,0.02329,0.00160,0.00155,0.01147,0.00147,0.00169,,,,,,
